era,arm,chunk,raw,compressed,ctx_bytes
2026-04-28_quiet,prefix-1MiB,4,1048576,249820,1048576
2026-04-28_quiet,prefix-1MiB,5,1048576,252415,1048576
2026-04-28_quiet,prefix-1MiB,6,1048576,243528,1048576
2026-04-28_quiet,prefix-1MiB,7,1048576,247781,1048576
2026-04-28_quiet,prefix-1MiB,8,1048576,217301,1048576
2026-04-28_quiet,prefix-1MiB,9,1048576,205083,1048576
2026-04-28_quiet,prefix-1MiB,10,1048576,209252,1048576
2026-04-28_quiet,prefix-1MiB,11,1048576,206731,1048576
2026-04-28_quiet,prefix-1MiB,12,1048576,224307,1048576
2026-04-28_quiet,prefix-1MiB,13,1048576,154861,1048576
2026-04-28_quiet,prefix-512KiB,0,1048576,278024,0
2026-04-28_quiet,prefix-512KiB,1,1048576,236376,524288
2026-04-28_quiet,prefix-512KiB,2,1048576,239347,524288
2026-04-28_quiet,prefix-512KiB,3,1048576,232767,524288
2026-04-28_quiet,prefix-512KiB,4,1048576,254558,524288
2026-04-28_quiet,prefix-512KiB,5,1048576,256492,524288
2026-04-28_quiet,prefix-512KiB,6,1048576,247399,524288
2026-04-28_quiet,prefix-512KiB,7,1048576,251862,524288
2026-04-28_quiet,prefix-512KiB,8,1048576,232676,524288
2026-04-28_quiet,prefix-512KiB,9,1048576,209803,524288
2026-04-28_quiet,prefix-512KiB,10,1048576,214226,524288
2026-04-28_quiet,prefix-512KiB,11,1048576,210908,524288
2026-04-28_quiet,prefix-512KiB,12,1048576,228565,524288
2026-04-28_quiet,prefix-512KiB,13,1048576,157365,524288
2026-04-28_quiet,prefix-2MiB+dict-fresh,0,1048576,270174,65536
2026-04-28_quiet,prefix-2MiB+dict-fresh,1,1048576,229552,1114112
2026-04-28_quiet,prefix-2MiB+dict-fresh,2,1048576,231172,2162688
2026-04-28_quiet,prefix-2MiB+dict-fresh,3,1048576,222895,2162688
2026-04-28_quiet,prefix-2MiB+dict-fresh,4,1048576,245317,2162688
